<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GDAX.BTC-USD;D;20210312;000000;57820.1500000;58065.9200000;55050.0000000;57225.9100000;21751
GDAX.BTC-USD;D;20210313;000000;57220.8400000;61788.4500000;56083.7400000;61178.5000000;22288
GDAX.BTC-USD;D;20210314;000000;61181.3800000;61680.0000000;58950.0000000;58972.7000000;13570
GDAX.BTC-USD;D;20210315;000000;58972.7100000;60601.0700000;54568.0000000;55636.1500000;31641
GDAX.BTC-USD;D;20210316;000000;55629.0800000;56970.0000000;53221.0000000;56927.1100000;24418
GDAX.BTC-USD;D;20210317;000000;56924.2600000;58996.3800000;54138.0100000;58925.5400000;22688
GDAX.BTC-USD;D;20210318;000000;58925.5400000;60100.0000000;56996.1500000;57644.9500000;21450
GDAX.BTC-USD;D;20210319;000000;57644.9500000;59461.9900000;56260.0000000;58039.6600000;16418
GDAX.BTC-USD;D;20210320;000000;58026.9100000;59928.0000000;57827.9700000;58116.7000000;9712
GDAX.BTC-USD;D;20210321;000000;58126.3400000;58651.2200000;55543.8900000;57363.3200000;11826
GDAX.BTC-USD;D;20210322;000000;57377.2900000;58421.6800000;53739.5000000;54110.0700000;19521
GDAX.BTC-USD;D;20210323;000000;54111.4900000;55858.0000000;53000.0000000;54345.5400000;19216
GDAX.BTC-USD;D;20210324;000000;54333.2700000;57209.9700000;51673.8200000;52276.1600000;23761
GDAX.BTC-USD;D;20210325;000000;52259.6900000;53238.0000000;50305.0000000;51325.0100000;29632
GDAX.BTC-USD;D;20210326;000000;51320.7600000;55125.1300000;51250.0000000;55072.4400000;17833
GDAX.BTC-USD;D;20210327;000000;55080.9000000;56640.0000000;53966.0000000;55856.5300000;11345
GDAX.BTC-USD;D;20210328;000000;55856.5400000;56587.0800000;54701.0000000;55778.8200000;9232
GDAX.BTC-USD;D;20210329;000000;55781.2200000;58400.0000000;54900.0000000;57613.4800000;17556
GDAX.BTC-USD;D;20210330;000000;57613.7600000;59397.4800000;57000.0000000;58786.4600000;15100
GDAX.BTC-USD;D;20210331;000000;58786.4600000;59800.0000000;56873.8000000;58800.0000000;17388
GDAX.BTC-USD;D;20210401;000000;58800.0100000;59474.9400000;57930.0000000;58726.4800000;11102
GDAX.BTC-USD;D;20210402;000000;58726.4700000;60055.0200000;58441.8800000;58981.0400000;10957
GDAX.BTC-USD;D;20210403;000000;58981.0400000;59752.0000000;56943.0000000;57094.3400000;8425
GDAX.BTC-USD;D;20210404;000000;57094.3400000;58500.0000000;56478.5300000;58215.9400000;6303
GDAX.BTC-USD;D;20210405;000000;58216.7300000;59251.7600000;56817.6400000;59123.0200000;9218
GDAX.BTC-USD;D;20210406;000000;59134.0700000;59475.0000000;57333.3300000;58019.9800000;10362
GDAX.BTC-USD;D;20210407;000000;58021.6700000;58630.0000000;55400.0000000;55955.7500000;17784
GDAX.BTC-USD;D;20210408;000000;55962.6700000;58152.0000000;55700.0000000;58083.1000000;8090
GDAX.BTC-USD;D;20210409;000000;58083.1000000;58869.6900000;57670.5100000;58092.6800000;8095
GDAX.BTC-USD;D;20210410;000000;58092.6800000;61218.9700000;57875.4100000;59778.6000000;12829
GDAX.BTC-USD;D;20210411;000000;59778.5900000;60658.8900000;59177.0600000;59985.2600000;7284
GDAX.BTC-USD;D;20210412;000000;59983.6600000;61199.0000000;59369.0000000;59839.8200000;11479
GDAX.BTC-USD;D;20210413;000000;59836.8800000;63774.3900000;59799.0100000;63588.2200000;17892
GDAX.BTC-USD;D;20210414;000000;63588.2200000;64899.0000000;61277.9100000;62971.8000000;22559
GDAX.BTC-USD;D;20210415;000000;62971.8000000;63831.8200000;62036.7300000;63229.0400000;11191
GDAX.BTC-USD;D;20210416;000000;63229.0400000;63604.3400000;60048.4300000;61427.2700000;19856
GDAX.BTC-USD;D;20210417;000000;61427.2700000;62572.4800000;59700.0000000;60058.8600000;10855
GDAX.BTC-USD;D;20210418;000000;60067.2000000;60437.9700000;51300.0000000;56274.4100000;36884
GDAX.BTC-USD;D;20210419;000000;56273.6500000;57600.0000000;54187.8500000;55696.8300000;16841
GDAX.BTC-USD;D;20210420;000000;55696.8300000;57111.0000000;53430.0100000;56499.2900000;18606
GDAX.BTC-USD;D;20210421;000000;56477.6700000;56810.5600000;53620.9100000;53800.8600000;15575
GDAX.BTC-USD;D;20210422;000000;53795.6200000;55469.9800000;50400.0000000;51701.5900000;30443
GDAX.BTC-USD;D;20210423;000000;51695.9800000;52130.5800000;47464.6500000;51187.2700000;38791
GDAX.BTC-USD;D;20210424;000000;51187.7500000;51260.6100000;48726.8700000;50089.1500000;11842
GDAX.BTC-USD;D;20210425;000000;50101.4200000;50591.3800000;47044.0100000;49121.0000000;14645
GDAX.BTC-USD;D;20210426;000000;49121.0000000;54400.0000000;48817.6200000;54053.6000000;18013
GDAX.BTC-USD;D;20210427;000000;54047.8000000;55509.3900000;53321.0000000;55069.6200000;13937
GDAX.BTC-USD;D;20210428;000000;55069.6100000;56476.1700000;53887.0000000;54894.0300000;16475
GDAX.BTC-USD;D;20210429;000000;54889.8100000;55226.8600000;52369.6100000;53580.0000000;14592
GDAX.BTC-USD;D;20210430;000000;53580.0000000;58075.0100000;53068.4300000;57798.7700000;16536
GDAX.BTC-USD;D;20210501;000000;57798.7700000;58550.0000000;57050.9400000;57859.2800000;10780
GDAX.BTC-USD;D;20210502;000000;57859.2800000;57972.2600000;56072.0000000;56625.2000000;7668
GDAX.BTC-USD;D;20210503;000000;56625.2100000;58986.0000000;56500.0000000;57212.7300000;15174
GDAX.BTC-USD;D;20210504;000000;57212.7300000;57247.2400000;53057.7000000;53241.9200000;23508
GDAX.BTC-USD;D;20210505;000000;53241.9100000;57980.8600000;52913.0200000;57515.6900000;22935
GDAX.BTC-USD;D;20210506;000000;57515.6900000;58400.0000000;55288.0000000;56440.6600000;18232
GDAX.BTC-USD;D;20210507;000000;56444.8200000;58735.9500000;55300.0000000;57380.3900000;18320
GDAX.BTC-USD;D;20210508;000000;57380.3900000;59559.8400000;56980.0100000;58958.0500000;15368
GDAX.BTC-USD;D;20210509;000000;58958.0600000;59300.5200000;56265.3000000;58312.5700000;17184
GDAX.BTC-USD;D;20210510;000000;58313.8400000;59592.2000000;53600.0000000;55866.4100000;24661
GDAX.BTC-USD;D;20210511;000000;55866.3800000;56962.0700000;54511.4800000;56753.1900000;5391
GDAX.BTC-USD;D;20210512;000000;56753.1900000;58041.0000000;48500.0000000;49498.7700000;25880
GDAX.BTC-USD;D;20210513;000000;49498.7600000;52500.0000000;46000.0000000;49690.1100000;28473
GDAX.BTC-USD;D;20210514;000000;49682.2800000;51569.5600000;48895.0000000;49893.4800000;21984
GDAX.BTC-USD;D;20210515;000000;49893.4800000;50730.5800000;46573.0000000;46775.5100000;21927
GDAX.BTC-USD;D;20210516;000000;46771.0100000;49808.2800000;43825.0000000;46450.7900000;30636
GDAX.BTC-USD;D;20210517;000000;46450.7800000;46646.1500000;42101.0000000;43580.5000000;43652
GDAX.BTC-USD;D;20210518;000000;43571.8900000;45851.0000000;42300.0000000;42857.1500000;28215
GDAX.BTC-USD;D;20210519;000000;42865.0500000;43591.7000000;30000.0000000;36731.7500000;109526
GDAX.BTC-USD;D;20210520;000000;36735.4400000;42605.0000000;35000.0000000;40623.3300000;51451
GDAX.BTC-USD;D;20210521;000000;40623.2400000;42275.9900000;33501.5400000;37340.7700000;55966
GDAX.BTC-USD;D;20210522;000000;37333.0900000;38889.7600000;35257.5200000;37476.8300000;29230
GDAX.BTC-USD;D;20210523;000000;37476.8400000;38319.3600000;31111.0000000;34758.6700000;53427
GDAX.BTC-USD;D;20210524;000000;34758.8800000;39966.8700000;34407.1700000;38878.5600000;44406
GDAX.BTC-USD;D;20210525;000000;38874.5300000;39878.5100000;36481.2600000;38361.8100000;26086
GDAX.BTC-USD;D;20210526;000000;38361.8100000;40900.0000000;37837.3600000;39293.2300000;25105
GDAX.BTC-USD;D;20210527;000000;39293.2300000;40440.9500000;37191.9900000;38556.8800000;19400
GDAX.BTC-USD;D;20210528;000000;38556.8800000;38900.0000000;34688.0000000;35680.4700000;36219
GDAX.BTC-USD;D;20210529;000000;35680.4800000;37325.0000000;33650.8600000;34627.8200000;27992
GDAX.BTC-USD;D;20210530;000000;34627.8100000;36500.0000000;33333.0000000;35669.4400000;16033
GDAX.BTC-USD;D;20210531;000000;35669.4400000;37534.0900000;34183.0000000;37279.3100000;19524
GDAX.BTC-USD;D;20210601;000000;37276.2300000;37918.9700000;35669.1400000;36685.0000000;15704
GDAX.BTC-USD;D;20210602;000000;36684.9900000;38237.3700000;35920.0000000;37577.9100000;13959
GDAX.BTC-USD;D;20210603;000000;37581.8300000;39489.8200000;37184.8800000;39248.5500000;14310
GDAX.BTC-USD;D;20210604;000000;39248.5400000;39291.2400000;35593.2200000;36856.5200000;17904
GDAX.BTC-USD;D;20210605;000000;36856.5300000;37921.3500000;34832.1700000;35539.4900000;13648
GDAX.BTC-USD;D;20210606;000000;35539.9700000;36477.8600000;35258.0000000;35800.4800000;8188
GDAX.BTC-USD;D;20210607;000000;35800.4800000;36812.3900000;33333.0000000;33575.9100000;18993
GDAX.BTC-USD;D;20210608;000000;33567.2600000;34069.0000000;31004.9500000;33402.1300000;34945
GDAX.BTC-USD;D;20210609;000000;33402.1300000;37573.9900000;32408.5300000;37403.8600000;26051
GDAX.BTC-USD;D;20210610;000000;37404.7500000;38425.6700000;35800.0000000;36694.0500000;19856
GDAX.BTC-USD;D;20210611;000000;36694.9100000;37695.0000000;35944.0000000;37338.4400000;14137
GDAX.BTC-USD;D;20210612;000000;37340.0800000;37448.0000000;34635.4700000;35557.3300000;14516
GDAX.BTC-USD;D;20210613;000000;35557.3200000;39396.0000000;34780.5700000;39015.2400000;15740
GDAX.BTC-USD;D;20210614;000000;39015.2400000;41076.0300000;38744.8300000;40539.4700000;21919
GDAX.BTC-USD;D;20210615;000000;40537.9300000;41322.5500000;39510.9800000;40162.3700000;17016
GDAX.BTC-USD;D;20210616;000000;40158.0600000;40499.0000000;38105.0000000;38351.0000000;17247
GDAX.BTC-USD;D;20210617;000000;38351.0000000;39554.9800000;37365.6300000;38095.1700000;15978
GDAX.BTC-USD;D;20210618;000000;38103.9400000;38216.2200000;35153.1600000;35841.8100000;23461
GDAX.BTC-USD;D;20210619;000000;35840.9600000;36457.1800000;34833.2600000;35484.7900000;16805
GDAX.BTC-USD;D;20210620;000000;35484.8000000;35909.5500000;33751.0000000;33930.7000000;2883
